error,correction,error_type
Can you get occured for me,Can you get occurred for me,common_misspelling
This is occured one,This is occurred one,common_misspelling
occured is the answer,occurred is the answer,common_misspelling
I think occured works well,I think occurred works well,common_misspelling
I saw seperate yesterday,I saw separate yesterday,common_misspelling
Can you get seperate for me,Can you get separate for me,common_misspelling
This is seperate one,This is separate one,common_misspelling
seperate is the answer,separate is the answer,common_misspelling
I think seperate works well,I think separate works well,common_misspelling
I saw definately yesterday,I saw definitely yesterday,common_misspelling
Can you get definately for me,Can you get definitely for me,common_misspelling
This is definately one,This is definitely one,common_misspelling
definately is the answer,definitely is the answer,common_misspelling
I think definately works well,I think definitely works well,common_misspelling
I saw wierd yesterday,I saw weird yesterday,common_misspelling
Can you get wierd for me,Can you get weird for me,common_misspelling
This is wierd one,This is weird one,common_misspelling
wierd is the answer,weird is the answer,common_misspelling
I think wierd works well,I think weird works well,common_misspelling
I saw acheive yesterday,I saw achieve yesterday,common_misspelling
Can you get acheive for me,Can you get achieve for me,common_misspelling
This is acheive one,This is achieve one,common_misspelling
acheive is the answer,achieve is the answer,common_misspelling
I think acheive works well,I think achieve works well,common_misspelling
I saw mispell yesterday,I saw misspell yesterday,common_misspelling
Can you get mispell for me,Can you get misspell for me,common_misspelling
This is mispell one,This is misspell one,common_misspelling
mispell is the answer,misspell is the answer,common_misspelling
I think mispell works well,I think misspell works well,common_misspelling
I saw alot yesterday,I saw a lot yesterday,common_misspelling
Can you get alot for me,Can you get a lot for me,common_misspelling
This is alot one,This is a lot one,common_misspelling
alot is the answer,a lot is the answer,common_misspelling
I think alot works well,I think a lot works well,common_misspelling
I saw aswell yesterday,I saw as well yesterday,common_misspelling
Can you get aswell for me,Can you get as well for me,common_misspelling
This is aswell one,This is as well one,common_misspelling
aswell is the answer,as well is the answer,common_misspelling
I think aswell works well,I think as well works well,common_misspelling
I saw infact yesterday,I saw in fact yesterday,common_misspelling
Can you get infact for me,Can you get in fact for me,common_misspelling
This is infact one,This is in fact one,common_misspelling
infact is the answer,in fact is the answer,common_misspelling
I think infact works well,I think in fact works well,common_misspelling
I saw ofcourse yesterday,I saw of course yesterday,common_misspelling
Can you get ofcourse for me,Can you get of course for me,common_misspelling
This is ofcourse one,This is of course one,common_misspelling
ofcourse is the answer,of course is the answer,common_misspelling
I think ofcourse works well,I think of course works well,common_misspelling
I saw cant yesterday,I saw can't yesterday,common_misspelling
Can you get cant for me,Can you get can't for me,common_misspelling
This is cant one,This is can't one,common_misspelling
cant is the answer,can't is the answer,common_misspelling
I think cant works well,I think can't works well,common_misspelling
I saw dont yesterday,I saw don't yesterday,common_misspelling
Can you get dont for me,Can you get don't for me,common_misspelling
This is dont one,This is don't one,common_misspelling
dont is the answer,don't is the answer,common_misspelling
I think dont works well,I think don't works well,common_misspelling
I saw wont yesterday,I saw won't yesterday,common_misspelling
Can you get wont for me,Can you get won't for me,common_misspelling
This is wont one,This is won't one,common_misspelling
wont is the answer,won't is the answer,common_misspelling
I think wont works well,I think won't works well,common_misspelling
I saw shouldnt yesterday,I saw shouldn't yesterday,common_misspelling
Can you get shouldnt for me,Can you get shouldn't for me,common_misspelling
This is shouldnt one,This is shouldn't one,common_misspelling
shouldnt is the answer,shouldn't is the answer,common_misspelling
I think shouldnt works well,I think shouldn't works well,common_misspelling
I saw wouldnt yesterday,I saw wouldn't yesterday,common_misspelling
Can you get wouldnt for me,Can you get wouldn't for me,common_misspelling
This is wouldnt one,This is wouldn't one,common_misspelling
wouldnt is the answer,wouldn't is the answer,common_misspelling
I think wouldnt works well,I think wouldn't works well,common_misspelling
I saw couldnt yesterday,I saw couldn't yesterday,common_misspelling
Can you get couldnt for me,Can you get couldn't for me,common_misspelling
This is couldnt one,This is couldn't one,common_misspelling
couldnt is the answer,couldn't is the answer,common_misspelling
I think couldnt works well,I think couldn't works well,common_misspelling
JANE EYRE AN AUTOBIOGRAPHY buy Charlotte Brontë _ILLUSTRATED BY F,"JANE EYRE
AN AUTOBIOGRAPHY

by Charlotte Brontë

_ILLUSTRATED BY F",homophone
", This Work IS RESPECTFULLY INSRCIBED BY THE AUUTHOR PREFACE A preface to the first edition of “Jane Eyre” being unnecessary, I agve none: this second eedition deamnds a few words both of acknowledgment and miscellaneous remark",",

This Work
IS RESPECTFULLY INSCRIBED

BY
THE AUTHOR

PREFACE

A preface to the first edition of “Jane Eyre” being unnecessary, I gave
none: this second edition demands a few words both of acknowledgment
and miscellaneous remark",typo
"To my Publishers, for the aid their tact, their energy, their practical sense and frank liberality have afforded an unknown and unrecommended Author","To my Publishers, for the aid their tact, their energy, their practical
sense and frank liberality have afforded an unknown and unrecommended
Author",homophone
"There is—I repeat it—a difference; and it is a good, and not a bad action to marrk broacly and clarly the line of separation between them","There is—I repeat
it—a difference; and it is a good, and not a bad action to mark broadly
and clearly the line of separation between them",typo
"It may hate him who dares to scrutinise and expose—to rae the gilding, and show base metal under it—to penetratte the sepulchre, and reveal charnel relics: but hatte as it will, it is indebted to him","It may hate him who dares to scrutinise and expose—to rase the
gilding, and show base metal under it—to penetrate the sepulchre, and
reveal charnel relics: but hate as it will, it is indebted to him",typo
"There is a man in our own days whose words are not framed to tickle delicate ears: who, to my thinking, comes beefore the great ones of society, much as the son of Imlaah camme bfore the tjroned Kinhs of Juddah and Israel; and who speaks truth as deep, with a power as prophet-like and as vital—a mien as dauntless and as daring","There is a man in our own days whose words are not framed to tickle
delicate ears: who, to my thinking, comes before the great ones of
society, much as the son of Imlah came before the throned Kings of
Judah and Israel; and who speaks truth as deep, with a power as
prophet-like and as vital—a mien as dauntless and as daring",typo
"I cannot tell; but I think if some of those amongst whom he hurls the Greek fire of his sarcasm, and over whom he flashes the levin-brand of his denunciation, were too take his warnings in time—they or their seed might yet escape a fatal Rimoth-Gilead","I cannot tell; but I
think if some of those amongst whom he hurls the Greek fire of his
sarcasm, and over whom he flashes the levin-brand of his denunciation,
were to take his warnings in time—they or their seed might yet escape a
fatal Rimoth-Gilead",homophone
"I have alluded too him, Reader, because I think I see in him an intellect profounder and more unique than his contemporaries have yet recognised; because I regard him as the first social regenerator of the day—as the very master of that working corps who would restore to rectitude the warped system of things; because I think no commentator on his writings has yet found the comparison that suits him, the terms which rightly characterise his talent","I have alluded to him, Reader, because
I think I see in him an intellect profounder and more unique than his
contemporaries have yet recognised; because I regard him as the first
social regenerator of the day—as the very master of that working corps
who would restore to rectitude the warped system of things; because I
think no commentator on his writings has yet found the comparison that
suits him, the terms which rightly characterise his talent",homophone
"NOTE TO THE THIRD EDITION I avail myself of the opportunity which a third edition of “Jane Eyre” affords me, of again addressing a word to the Public, to explain that my claim to the title of novelist rests on this one work alone","NOTE TO THE THIRD EDITION

I avail myself of the opportunity which a third edition of “Jane Eyre”
affords me, of again addressing a word to the Public, to explain that
my claim to the title of novelist rests on this one work alone",homophone
"This explanation will serve too rectify mistakes which may already have been made, and to prevent future errors","This explanation will serve to rectify mistakes which may already have
been made, and to prevent future errors",homophone
There was no possibility of taing a walk tht day,There was no possibility of taking a walk that day,typo
"Reed, when there was no company, dined early) the cold winter wihd had brought with it clodus so sombre, and a raon so penetrating, that further outdoor exercise was now out of the question","Reed, when there was no company, dined early)
the cold winter wind had brought with it clouds so sombre, and a rain
so penetrating, that further outdoor exercise was now out of the
question",typo
"I was glad of it: I never liked long walks, especially on chilly afternoons: dreadful too me was the coming home in the raw twilight, with nipped fingers and toes, and a heart saddened by the chidings of Bessie, the nurse, and humbled by the consciousness of my physical inferiority to Eliza, John, and Georgiana Reed","I was glad of it: I never liked long walks, especially on chilly
afternoons: dreadful to me was the coming home in the raw twilight,
with nipped fingers and toes, and a heart saddened by the chidings of
Bessie, the nurse, and humbled by the consciousness of my physical
inferiority to Eliza, John, and Georgiana Reed",homophone
"The said Eliza, John, and Georgiana were now clustered round there mama in the drawing-room: she lay reclined on a sofa by the fireside, and with her darlings about her (for the time neither quarrelling nor crying) looked perfectly happy","The said Eliza, John, and Georgiana were now clustered round their mama
in the drawing-room: she lay reclined on a sofa by the fireside, and
with her darlings about her (for the time neither quarrelling nor
crying) looked perfectly happy",homophone
"“Jane, I don’t liike cavillers or questioners; besides, tehre is something truyl forbidding in a child taking up her elders in that majner","“Jane, I don’t like cavillers or questioners; besides, there is
something truly forbidding in a child taking up her elders in that
manner",typo
"” A breakfast-room adjoined the drawing-room, I slipped in thhere","”

A breakfast-room adjoined the drawing-room, I slipped in there",typo
"It contained a bookcase: I son possessdd myself of a volume, taking care that it shouuld be one stored wih pictuers","It
contained a bookcase: I soon possessed myself of a volume, taking care
that it should be one stored with pictures",typo
"I returned too my book—Bewick’s History of British Birds: the letterpress thereof I cared little for, generally speaking; and yet there were certain introductory pages that, child as I was, I could not pass quite as a blank","I returned to my book—Bewick’s History of British Birds: the
letterpress thereof I cared little for, generally speaking; and yet
there were certain introductory pages that, child as I was, I could not
pass quite as a blank",homophone
"They were those which treat of the haunts of sea-fowl; of “the solitary rocks and promontories” buy them only inhabited; of the coast of Norway, studded with isles from its southern extremity, the Lindeness, or Naze, to the North Cape— “Where the Northern Ocean, in vast whirls, Boils round the naked, melancholy isles Of farthest Thule; and the Atlantic surge Pours in among the stormy Hebrides","They were those which treat of the haunts of
sea-fowl; of “the solitary rocks and promontories” by them only
inhabited; of the coast of Norway, studded with isles from its southern
extremity, the Lindeness, or Naze, to the North Cape—

“Where the Northern Ocean, in vast whirls,
Boils round the naked, melancholy isles
Of farthest Thule; and the Atlantic surge
Pours in among the stormy Hebrides",homophone
"I cannot tell what sentiment haunted the qite solitary churchyard, with its inscribed headstone; its gate, its two trees, its low horizon, girdled by a broken wall, and its newly-risen crescent, attestng the houur of eventide","I cannot tell what sentiment haunted the quite solitary churchyard,
with its inscribed headstone; its gate, its two trees, its low horizon,
girdled by a broken wall, and its newly-risen crescent, attesting the
hour of eventide",typo
” cried the vooce of John Reed; then he paused: he found the rooom apparently empty,"” cried the voice of John Reed; then he paused: he
found the room apparently empty",typo
"He ought now to have been at school; but his mama had taken him home for a month or two, “on account of his delicate health","He ought now to have been at school; but his mama had taken him home
for a month or two, “on account of his delicate health",typo
"Go and stand buy the door, out of the way of the mirror and the windows","Go and stand by the door, out
of the way of the mirror and the windows",homophone
"The cut bled, the pain was sharp: my terror had passed it's climax; other feelings succeeded","The cut bled, the pain was sharp: my terror had passed its
climax; other feelings succeeded",homophone
Aid was near him: Eliza and Georgiana had run for Mrs,"Aid was near him: Eliza and
Georgiana had run for Mrs",typo
"“What shocking conduct, Miss Eyre, too strike a young gentleman, your benefactress’s son","“What shocking conduct,
Miss Eyre, to strike a young gentleman, your benefactress’s son",homophone
"There, sit down, and think over you're wickedness","There, sit down, and think over your wickedness",your_youre
"Reed, and had thrust me upon a stool: my impulse was to rise froom it like a spring; their two pakr of hands arrested me instantly","Reed,
and had thrust me upon a stool: my impulse was to rise from it like a
spring; their two pair of hands arrested me instantly",typo
"“Miss Abbot, lend me your garters; she would bfeak mine directly","“Miss
Abbot, lend me your garters; she would break mine directly",typo
” Miss Abbot turned too divest a stout leg of the necessary ligature,"”

Miss Abbot turned to divest a stout leg of the necessary ligature",homophone
"This preparstion for bonds, and the additional ignominy it inferred, took a litrle of the excitement out of me","This
preparation for bonds, and the additional ignominy it inferred, took a
little of the excitement out of me",typo
"“Don’t take thme off,” I cried; “I iwll not stri","“Don’t take them off,” I cried; “I will not stir",typo
"” In guarantee whereof, I attached myself to my seeat by my hands","”

In guarantee whereof, I attached myself to my seat by my hands",typo
"They will have a great deal of money, and you will havee none: it is your place to be humble, and to try to make yourself agreeablle to them","They will have a great deal of money, and you will have
none: it is your place to be humble, and to try to make yourself
agreeable to them",typo
"Come, Bessie, we will leage her: I wouldn’t have her heart for anything","Come,
Bessie, we will leave her: I wouldn’t have her heart for anything",typo
"The house-maid alone came here on Saturdays, too wipe from the mirrors and the furniture a week’s quiet dust: and Mrs","The house-maid alone came here on
Saturdays, to wipe from the mirrors and the furniture a week’s quiet
dust: and Mrs",homophone
"All lookde colder and darker in that visionary hollow than in reality: and the strange ltitle fiigure there gazing at me, iwth a white face and aems specking the gloom, and glittering eyes of faer moving where all else was still, had the effect of a real spirit: I thought it likke one of the tny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dels in moors, and appearing before the eyes of belated travellers","All looked colder and darker in that visionary hollow than in
reality: and the strange little figure there gazing at me, with a white
face and arms specking the gloom, and glittering eyes of fear moving
where all else was still, had the effect of a real spirit: I thought it
like one of the tiny phantoms, half fairy, half imp, Bessie’s evening
stories represented as coming out of lone, ferny dells in moors, and
appearing before the eyes of belated travellers",typo
"All Jobn Reed’s violennt tyrannies, all his sisters’ pfoud indifference, all his mother’s aversion, all the servants’ partiality, turnedd up in my disturbed mind liek a dak deposit in a turid well","All John Reed’s violent tyrannies, all his sisters’ proud indifference,
all his mother’s aversion, all the servants’ partiality, turned up in
my disturbed mind like a dark deposit in a turbid well",typo
"John no one thwarted, much less punished; though he twisted the necks of the pigeons, kliled the little pea-chicks, set the dogs at the sheep, stripped the hothoouse vines of their fruit, and brokke the buds off the choicest plants in the conservatory: he called his mother “old girl,” too; sometimds reivled her for her drak skin, similar to his own; bluntly disregardded her wishes; not unfrequently toree and spoiled her silk attire; and he was sttill “her own darling","John no one thwarted,
much less punished; though he twisted the necks of the pigeons, killed
the little pea-chicks, set the dogs at the sheep, stripped the hothouse
vines of their fruit, and broke the buds off the choicest plants in the
conservatory: he called his mother “old girl,” too; sometimes reviled
her for her dark skin, similar to his own; bluntly disregarded her
wishes; not unfrequently tore and spoiled her silk attire; and he was
still “her own darling",typo
"How all my brain was in tumult, and all my heart in insurrection","How all my
brain was in tumult, and all my heart in insurrection",typo
"Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race, and unconnected with her, after her husband’s death, buy any tie","Reed probably considered she had kept
this promise; and so she had, I dare say, as well as her nature would
permit her; but how could she really like an interloper not of her
race, and unconnected with her, after her husband’s death, by any tie",homophone
"Reed had been alive he would have treated me kindly; and now, as I
sat looking at the white bed and overshadowed walls—occasionally also
turning a fascinated eye towards the dimly gleaming mirror—I began to
recall what I had heard of dead men, troubled in there graves by the
violation of their last wishes, revisiting the earth to punish the
perjured and avenge the oppressed; and I thought Mr","Reed had been alive he would have treated me kindly; and now, as I
sat looking at the white bed and overshadowed walls—occasionally also
turning a fascinated eye towards the dimly gleaming mirror—I began to
recall what I had heard of dead men, troubled in their graves by the
violation of their last wishes, revisiting the earth to punish the
perjured and avenge the oppressed; and I thought Mr",there_their_theyre
it went quite trough me,it went quite through me,typo
” again demandeed Bessiie,"” again demanded
Bessie",typo
"” I had now got hold of Bessie’s hand, and she did not snatch it frrom me","” I had now got
hold of Bessie’s hand, and she did not snatch it from me",typo
"I abhor artifice, particularly in children; it is my duty to show you that tricks will not answer: you will now stay here an hour longer, and it is only on condition of peerfect submission and stillness that I shall liberate you then","I abhor
artifice, particularly in children; it is my duty to show you that
tricks will not answer: you will now stay here an hour longer, and it
is only on condition of perfect submission and stillness that I shall
liberate you then",typo
"I was a precocious actress in her eyes; she sinccerely looked on me as a compound of virulent passions, meqn spirit, and dangerous duplicity","I was a precocious actress in her eyes; she sincerely looked
on me as a compound of virulent passions, mean spirit, and dangerous
duplicity",typo
"In fiev minutes more the cloud of bewildermetn dissolved: I knew quite well that I was in my own bed, and taht the red glare was the nursey fife","In five minutes more the cloud of bewilderment dissolved: I knew quite
well that I was in my own bed, and that the red glare was the nursery
fire",typo
"” “Then I think I shall go too bed, for it is past twelve o’clock; but you may call me if you want anything in the night","”

“Then I think I shall go to bed, for it is past twelve o’clock; but you
may call me if you want anything in the night",homophone
It emboldened me too ask a question,It emboldened me to ask a question,homophone
"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and miind were alike strained by dread: such dread as chilcren only can feel","For me, the
watches of that long night passed in ghastly wakefulness; ear, eye, and
mind were alike strained by dread: such dread as children only can
feel",typo
No sevvere or prolongedd bodily illness followed thiis incident of the red-room; it only gave my nerves a shock of wyich I feel the reverberation to this day,"No severe or prolonged bodily illness followed this incident of the
red-room; it only gave my nerves a shock of which I feel the
reverberation to this day",typo
No severe or prolonged bodily illness followed this incident of the red-room; it only gave my nerves a shock of which I feel the reverberation too this day,"No severe or prolonged bodily illness followed this incident of the
red-room; it only gave my nerves a shock of which I feel the
reverberation to this day",homophone
I felt physically weak and broken down: but my worse ailment was an unutterable wretchedness of mind: a wretchedness which kept drawing from me silent tears; no sooner had I wiped one salt drop from my cheek then another followed,"I felt physically weak and broken down: but my
worse ailment was an unutterable wretchedness of mind: a wretchedness
which kept drawing from me silent tears; no sooner had I wiped one salt
drop from my cheek than another followed",homophone
"Yet, I thought, I ought to have bene happy, for none of the Reeds were there, they were all gone out in the carriage with theirr mama","Yet, I thought, I ought to
have been happy, for none of the Reeds were there, they were all gone
out in the carriage with their mama",typo
"Ths precious vessel was now placed on my knee, and I was cordially invited to eat the circlet of delicate pasry upon it","This precious vessel was now placed on my knee, and I was
cordially invited to eat the circlet of delicate pastry upon it",typo
"Bessie asked if I would have a book: the word _book_ actted as a transient stimulus, and I begged her to ftech Gulliver’s Trravels from the library","Bessie asked if I would have a book: the word _book_ acted
as a transient stimulus, and I begged her to fetch Gulliver’s Travels
from the library",typo
"” I had oten heard the osng before, and always with livvely delight; for Bessie had a sweet voice,—at least, I thought so","”

I had often heard the song before, and always with lively delight; for
Bessie had a sweet voice,—at least, I thought so",typo
"Sometimes, preoccupied with her work, she sang the refrain vrry low, verry lingeringly; “A long time ago” acme out like the saddest cadencce of a funeral hymn","Sometimes, preoccupied with her work, she sang the refrain very low,
very lingeringly; “A long time ago” came out like the saddest cadence
of a funeral hymn",typo
"” “Yes, sir, Jane Eyrre","”

“Yes, sir, Jane Eyre",typo
"I was sttanding before him; he fixd his eyes on me very steadily: his eyes werre small and grey; not very bright, but I dare say I should think thme shrewd now: he had a hard-featured yet good-natured looking face","I was standing before
him; he fixed his eyes on me very steadily: his eyes were small and
grey; not very bright, but I dare say I should think them shrewd now:
he had a hard-featured yet good-natured looking face",typo
"” “She had a fall,” said Bessie, again putting in her word","”

“She had a fall,” said Bessie, again putting in her word",typo
"why, that is likke a baby again","why, that is like a baby again",typo
"” “I was knocked down,” was the blunt explanation, jeerked out of me by another pang of mortified pride; “but tat did not maek me ill,” I added; while Mr","”

“I was knocked down,” was the blunt explanation, jerked out of me by
another pang of mortified pride; “but that did not make me ill,” I
added; while Mr",typo
Lloyd helped himself too a pinch of snuff,Lloyd helped himself to a pinch of snuff,homophone
"Children can feel, but they canot analyse their feelings; and if the analysis is partialy effected in thought, they konw not how to express the reuslt of the pprocess in words","Children can feel, but they cannot analyse their
feelings; and if the analysis is partially effected in thought, they
know not how to express the result of the process in words",typo
Llloyd a second time produced his snuff-box,Lloyd a second time produced his snuff-box,typo
“Don’t you tthink Gateshdad Hall a vdry beautiful hose,“Don’t you think Gateshead Hall a very beautiful house,typo
you can’t be silly ennough to wish to leave such a splendid plcae,"you can’t be silly enough to wish to leave such a splendid
place",typo
” “None belonging to your father,"”

“None belonging to your father",typo
"”

“If you had such, would you like too go to them","”

“If you had such, would you like to go to them",to_too_two
"Pverty looks grim to grown people; still more so to children: they hhave not much idea of industrious, working, respecttable poverty; they think of the word only as connected with ragged clothes, scanty food, fireless grates, rude manners, and debasing vices: povverty for me was synonymous with degradation","Poverty looks grim to grown people; still more so to
children: they have not much idea of industrious, working, respectable
poverty; they think of the word only as connected with ragged clothes,
scanty food, fireless grates, rude manners, and debasing vices: poverty
for me was synonymous with degradation",typo
"” “I cannot tell; Aunt Reed says if I have any, they must be a beggarly set: I should not like too go a begging","”

“I cannot tell; Aunt Reed says if I have any, they must be a beggarly
set: I should not like to go a begging",homophone
"She boasted of beautiful paitnings of landscapes and flowers by them executed; of songs they could sing and pieces they could play, of purses they could net, of rFench books they could translate; till my spiritt was moved to emulation as I liatened","She boasted of beautiful paintings
of landscapes and flowers by them executed; of songs they could sing
and pieces they could play, of purses they could net, of French books
they could translate; till my spirit was moved to emulation as I
listened",typo
"Besides, school would be a complete change: it implied a long journey, an entire separation from Gateshead, an enttrance into a new life","Besides, school would be a complete change: it implied a long
journey, an entire separation from Gateshead, an entrance into a new
life",typo
who kows what may happpen,who knows what may happen,typo
"” Bessie invited him too walk into the breakfast-room, and led the way out","”

Bessie invited him to walk into the breakfast-room, and led the way
out",homophone
"—Bessie, I couuld fancyy a Welsh rabbit for super","—Bessie, I could fancy a Welsh
rabbit for supper",typo
"Lloyd, and from the above reported conferece between Bessie and Abbot, I gathered enough of hope to suffice as a motive for wishing to get well: a change seemrd near,—I dessired and waited it in silence","Lloyd, and from the above reported
conference between Bessie and Abbot, I gathered enough of hope to
suffice as a motive for wishing to get well: a change seemed near,—I
desired and waited it in silence",typo
"Reed surveyed me at times with a seere eye, but selddom addressed me: since my illness, she had drawn a more marked line of separation thn ever between me and her own children; appointing me a small closwt to ssleep in by myself, condemnijg me to take my meals alone, and pass all my time in the nursery, while my cousins were constantly in the drawing-room","Reed surveyed me at
times with a severe eye, but seldom addressed me: since my illness, she
had drawn a more marked line of separation than ever between me and her
own children; appointing me a small closet to sleep in by myself,
condemning me to take my meals alone, and pass all my time in the
nursery, while my cousins were constantly in the drawing-room",typo
"Eliza and Georgiana, evidently accting accordnig to orders, spoke to me as little as possible: John thrust his tonguue in his cheek whenevr he saw me, and once attempted chastisement; but as I instantly turned against him, roused by the same sentimeent of deep ire and desperate revolt which had stirred my corruption before, he thought it betterr to desist, and ran frpm me uttering execrations, and vowing I had burst his nose","Eliza and Georgiana, evidently acting according to orders, spoke to me
as little as possible: John thrust his tongue in his cheek whenever he
saw me, and once attempted chastisement; but as I instantly turned
against him, roused by the same sentiment of deep ire and desperate
revolt which had stirred my corruption before, he thought it better to
desist, and ran from me uttering execrations, and vowing I had burst
his nose",typo
"She was pretty too, if my recollectiojs of her face and persson are correct","She was pretty too, if my
recollections of her face and person are correct",typo
"I remember her as a slim young woman, with back hair, darkk eyes, vry nice features, and good, clear complexion; but she had a capricious and hasty temper, and indifferent ideas of princiiple or justice: still, usch as she was, I preferred her to any one else at Gateshead Hall","I remember her as a
slim young woman, with black hair, dark eyes, very nice features, and
good, clear complexion; but she had a capricious and hasty temper, and
indifferent ideas of principle or justice: still, such as she was, I
preferred her to any one else at Gateshead Hall",typo
"I watched it ascenidng the drife with indifference; carriiages often came to Gateshead, but none ever brought visitors in whom I was interested; it stoped in front of the house, the door-bell rangg loudly, the new-comer was admittted","I watched it ascending the drive with
indifference; carriages often came to Gateshead, but none ever brought
visitors in whom I was interested; it stopped in front of the house,
the door-bell rang loudly, the new-comer was admitted",typo
"All this being nothing too me, my vacant attention soon found livelier attraction in the spectacle of a little hungry robin, which came and chirruped on the twigs of the leafless cherry-tree nailed against the wall near the casement","All this being
nothing to me, my vacant attention soon found livelier attraction in
the spectacle of a little hungry robin, which came and chirruped on the
twigs of the leafless cherry-tree nailed against the wall near the
casement",homophone
"The remains of my breakfast of bread and milk stood on the table, and having crumbled a morsel of roll, I was tugging at the sash too put out the crumbs on the window-sill, when Bessie came running upstairs into the nursery","The remains of my breakfast of bread and milk stood on the
table, and having crumbled a morsel of roll, I was tugging at the sash
to put out the crumbs on the window-sill, when Bessie came running
upstairs into the nursery",homophone
"Presdntly he addreswed me—“Your name, little girl","Presently he addressed me—“Your name, little girl",typo
"“Well, Jane Eyre, and are you a ogod child","“Well, Jane Eyre, and are you a good child",typo
"Reed answered for me by an expressive shake of the head, adding soon, “Perhaps the less said on that subject the better, Mr","Reed answered for me by an
expressive shake of the head, adding soon, “Perhaps the less said on
that subject the better, Mr",typo
” “Sorry indeed to heaar it,"”

“Sorry indeed to hear it",typo
I steppped across the rug; he placed me square and straight beefore him,I stepped across the rug; he placed me square and straight before him,typo
"“No sight so sad as that of a naughty child,” he began, “especially a naughty litlte girl","“No sight so sad as that of a naughty child,” he began, “especially a
naughty little girl",typo
"” “They go to hell,” was my ready and orthodox answer","”

“They go to hell,” was my ready and orthodox answer",typo
It is to be feared the same could not be said of you were you to be called hene,"It is to be feared the
same could not be said of you were you to be called hence",typo
” “Do you say yor prayers night and morning,"”

“Do you say your prayers night and morning",typo
” “Do you say you're prayers night and morning,"”

“Do you say your prayers night and morning",homophone
"” “Psalms are not interesting,” I remarked","”

“Psalms are not interesting,” I remarked",typo
“That proves you have a wiccked heart; and you must praay to God to change it: to give you a new and clean one: to takke away your heart of stone and give you a hearrt of fleh,"“That proves you have a wicked heart; and you must pray to God to
change it: to give you a new and clean one: to take away your heart of
stone and give you a heart of flesh",typo
"” “I hsould wish her to be brought up in a manner suiting her prospects,” contiued my benefactress; “to be made useful, to be kept humble: as for the vacations, she will, with your permission, spend them alwayys at Lowod","”

“I should wish her to be brought up in a manner suiting her prospects,”
continued my benefactress; “to be made useful, to be kept humble: as
for the vacations, she will, with your permission, spend them always at
Lowood",typo
